household_id,household_size,children_count,income_annual_usd,rent_to_income_ratio,credit_score,prior_evictions_count,late_payment_count_last_year,monthly_rent,unit_bedrooms,unit_bathrooms,unit_sqft,building_age_years,utility_cost_monthly,school_quality_index,walkability_score,distance_to_cbd_km,lease_type,landlord_type,voucher_assistance,internet_access_type,heating_type,region,evicted_next_12m,moved_within_12m
1,3.5709300996891544,1.4114832452543677,52879.81878650066,0.36064869096074464,616.3676004885525,0.06025902906783509,0.34979937333020705,1261.369205378209,1.442663652810133,2.069094401066751,812.7419718958135,56.43313724763358,193.80825816025347,49.622154950585774,63.0447575496259,18.756608350237308,month-to-month,corporate,no,none,electric,north,no,no
2,2.9799304740049717,2.146882791801392,72348.970518236,0.40815817580259084,668.8966008178825,0.9922771702154618,0.5633154244554672,1305.3843843430686,2.752678568070432,1.6106064493040892,746.6756674055455,43.119890319302236,204.4998403314095,69.02375110791985,43.372209259201085,17.61243290351565,other,public_housing,no,cable,heat_pump,south,no,yes
3,4.1497378536913745,1.1581149054917081,57586.08076733575,0.4728121658820748,679.7711433047992,0.14474436725370676,0.8547374473111322,1293.21559805877,1.8145933533550809,1.9333340028499355,960.9811368515542,53.75047764302962,214.66720233240915,53.05581172892785,69.69673466697769,20.519334788534284,other,private,no,none,heat_pump,south,yes,no
4,4.204614683234182,2.1209306884533277,61837.711073765735,0.4288926844166615,663.1303040448933,0.08120833687459711,0.740961705540057,1187.9888495418875,2.3611505518639904,1.62709553846434,761.3021162492288,48.423307962125875,247.18115984388604,61.351345720767554,52.25782859402056,19.46715942077426,month-to-month,corporate,no,mobile,other,east,no,no
5,3.6521072034045874,2.000647416640199,54272.35513416346,0.3947242984091673,655.605215048056,0.4757890113503889,0.2913791202708993,1197.6785019319138,2.124290586685431,2.0742735551159286,889.9219066077725,38.018054173403755,178.9891845020291,52.42320122754677,55.04423609127906,11.98498006455126,6-month,nonprofit,no,mobile,electric,west,no,no
6,4.048955651664947,2.2287032746311257,67576.83092236659,0.2756225693167401,664.6442616060958,0.15226195963830702,0.7882338488392057,1086.453971180735,2.354104286332425,1.559258282740288,913.9066882583381,60.22025393675186,183.47314663563148,66.33775722394633,63.092807721486466,17.142657056485056,12-month,nonprofit,no,none,gas,south,no,no
7,1.7032317108653356,1.7511449934156087,57131.109012442765,0.3503162923149025,639.2165611103763,-0.07569198291315458,0.16265369145360203,1010.3174018580308,1.6758385412331058,1.681614148258499,897.4853105865458,43.937021056612856,170.00288632410397,42.21099007384869,43.978799672496045,13.227846562522496,other,public_housing,no,dsl,electric,north,yes,no
8,2.90740170021998,1.9524916656554174,60964.2668888065,0.3984080814655918,690.2787517444664,0.012900751617737433,0.09883690817644891,1341.6147717216645,1.2772756163035202,1.358857170777659,809.0598693516454,45.93365859455341,185.5268466080856,40.9191160021616,43.09307556222215,15.46154807195745,12-month,nonprofit,yes,mobile,gas,south,yes,no
9,4.570777024674324,2.116455834725575,94202.9137389214,0.5113722382042712,711.1498468067044,0.42227189648475233,1.0932560318074183,1486.2334599450287,2.4220441268909885,2.7266887613787634,1219.460683070416,96.452274215933,222.69631996724652,89.37807591797716,103.20227567228164,24.88884156137113,other,public_housing,no,dsl,heat_pump,south,no,no
10,1.1408332207449983,0.4052770486184041,58445.97836964097,0.3124012829544015,665.8066648326715,-0.10174750758053704,-0.059867432563149525,1046.6606489899982,1.8921453981072363,1.1066569268770254,897.4514963695742,57.494867728567414,176.664572191373,43.97904019251635,16.37738988977872,14.542784813176954,6-month,private,no,mobile,gas,east,no,yes
